Time,Engine Load (%),Fuel Pressure (mPa),Accel Pedal Position Sensor 2 (%),VVT Exhaust Desired (deg),Knock retard (deg),Electronic throttle control actual (deg),Absolute Throttle Position (OBD) (%),Fuel pulse width (ms),Electronic throttle control position (%),Ambient Air Temperature (F),Barometric pressure (PSI),Manifold absolute pressure (PSI),Intake Air Temperature (F),Rear O2 fuel trim B1 (%),Actual AFR (AFR),Short fuel trim 2 (%),Vehicle speed (kph),VVT Intake Camshaft position duty 1 (%),Throttle position 2 (%),Mass air flow sensor (V),Fuel pressure (mPa),Engine speed (RPM),Evaporative emission canister purge valve duty (%),Engine coolant temperature (F),Long fuel trim 2 (%),Evaporative Emission Canister Purge Valve duty cycle #2 (%),Intake air temperature (F),Accel Pedal Position Sensor 1 (%),Accelerator pedal position sensor 1 (V),Air fuel ratio (AFR),Ambient Air Temperature 2 (F),Calculated Engine Load (OBD) (%),Electronic throttle control desired (deg),Engine Coolant Temperature S1 (F),Engine Oil Pressure (PSI),Engine load,Equivalence ratio B1 S1 (AFR),Evaporative Purge (%),Fuel Injection amoung (mg/cyl),Fuel Pressure Desired (MPa),Fuel pressure desired (mPa),Ignition timing (deg),Intake Shutter Valve Control Desired #2 (deg),KCS Learning Value (deg),Long fuel trim 1 (%),Manifold Air temperature sensor (V),Mass air flow (g/s),Oil Temperature (F),Short fuel trim 1 (%),Throttle position 1 (%),VVT Exhaust Actual Position (deg),VVT Intake Actual Position (deg),VVT Intake Desired (deg),
16377, 66.67, 29.98, 7.8, 0, 0, 15.03, 22.7, 1.59, 16.47, 80.6, 14.79, 13.49, 81, 40, 13.9, 0, 0, 10, 22.75, 2.72, 29.98, 1375, 0, 98.6, 0, 0, 80.6, 15.3, 0.76, 13.78, 199.4, 68.2, 15.15, 98.6, 163.02, 59.77, 13.98, 0, 23.28, 3, 30, -20.5, 15.15, 0, 4.69, 3.04, 17.22, 96.75, 0, 23.92, 0, 68.62, 68.88,
16698, 67.06, 29.97, 7.8, 0, 0, 14.39, 23.1, 1.58, 17.65, 80.6, 14.79, 13.49, 81, 40, 14.13, 0, 0, 10, 24.31, 2.76, 29.97, 1393, 0, 98.6, 0, 0, 80.6, 15.3, 0.76, 14.13, 199.4, 68.6, 15.41, 98.6, 162.88, 60.16, 14.32, 0, 23.41, 3, 30, -20, 15.41, 0, 0, 3.05, 17.58, 96.75, 1.56, 24.31, 0, 68.75, 68.88,
17021, 70.59, 30.18, 7.8, 0, 0, 14.89, 24.3, 1.67, 17.65, 78.8, 14.79, 13.2, 79, 40, 14.47, 0, 0, 10, 23.92, 2.79, 30.18, 1384, 0, 98.6, 0, 0, 78.8, 15.3, 0.76, 14.47, 199.4, 70.2, 14.73, 98.6, 162.88, 60.16, 14.19, 0, 24.17, 3, 30, -19.5, 14.73, 0, 0, 3.05, 15.68, 96.75, 1.56, 23.92, 0, 68.5, 68.88,
17326, 70.2, 30.29, 7.8, 0, 0, 14.9, 23.9, 1.62, 18.43, 78.8, 14.79, 13.2, 79, 40, 14.24, 0, 0, 10, 24.31, 2.8, 30.29, 1386, 0, 98.6, 0, 0, 78.8, 15.3, 0.76, 14.13, 199.4, 70.2, 14.87, 98.6, 162.88, 60.55, 14.4, 0, 24.11, 3, 30, -19, 14.87, 0, -10.94, 3.05, 16.24, 96.75, 8.59, 23.53, 0, 69.12, 68.88,
17620, 73.33, 30.22, 7.8, 0, 0, 16.09, 25.1, 1.7, 16.47, 78.8, 14.79, 14.07, 79, 40, 14.47, 0, 0, 10, 23.14, 2.73, 30.22, 1374, 0, 98.6, 0, 0, 78.8, 15.3, 0.76, 14.24, 199.4, 69.4, 15.88, 100.4, 162.88, 64.45, 14.27, 0, 25.3, 3, 30, -20.5, 15.88, 0, -10.94, 3.05, 17.02, 96.75, 10.94, 24.31, 0, 68.56, 68.88,
17907, 71.37, 30.18, 7.8, 0, 0, 15.66, 23.1, 1.62, 15.29, 78.8, 14.79, 13.63, 79, 40, 14.01, 0, 0, 10, 25.88, 2.76, 30.18, 1386, 0, 100.4, 0, 0, 78.8, 15.3, 0.76, 14.24, 199.4, 73.7, 15.48, 100.4, 162.88, 64.06, 14.07, 0, 24.75, 3, 30, -19.5, 15.48, 0, -10.94, 3.05, 20.51, 96.75, 7.03, 25.88, 0, 68.94, 68.88,
18196, 69.41, 29.74, 7.8, 0, 0, 13.46, 21.6, 1.62, 18.82, 78.8, 14.79, 12.76, 79, 40, 13.55, 0, 0, 10, 25.1, 2.82, 29.74, 1402, 0, 100.4, 0, 0, 78.8, 15.3, 0.76, 13.55, 199.4, 77.6, 13.79, 100.4, 162.88, 60.16, 14.38, 0, 23.96, 3, 30, -18, 13.79, 0, -10.94, 3.05, 15.48, 96.75, 2.34, 23.53, 0, 68.88, 68.88,
18526, 74.9, 30.25, 7.8, 0, 0, 15.54, 24.7, 1.66, 22.75, 78.8, 14.79, 13.63, 79, 40, 13.9, 0, 0, 10, 24.31, 2.76, 30.25, 1355, 0, 100.4, 0, 0, 80.6, 15.3, 0.76, 13.9, 199.4, 72.2, 15.24, 100.4, 162.88, 64.06, 14.31, 0, 25.76, 3, 30, -18, 15.24, 0, -10.94, 3.06, 17.19, 96.75, 0.78, 23.92, 0, 68.81, 68.88,
18851, 84.71, 30.14, 7.5, 0, 0, 17.37, 27.1, 1.8, 13.33, 78.8, 14.79, 13.34, 79, 40, 14.24, 0, 0, 10, 18.82, 2.89, 30.14, 1448, 0, 100.4, 0, 0, 80.6, 15.3, 0.76, 14.24, 199.4, 74.5, 12.47, 100.4, 162.88, 66.02, 12.65, 0, 28.44, 3, 30, -23, 12.47, 0, -10.94, 3.06, 16.24, 96.75, -1.56, 18.43, 0, 68.56, 68.88,
19150, 68.24, 29.59, 7.8, 0, 0, 17.38, 20.8, 1.54, 9.41, 78.8, 14.79, 14.21, 79, 40, 14.13, 0, 0, 10, 20.39, 2.57, 29.59, 1442, 0, 100.4, 0, 0, 78.8, 15.3, 0.76, 14.13, 199.4, 67.5, 18.59, 100.4, 162.88, 68.75, 14.33, 0, 25.91, 3, 30, -21.5, 18.59, 0, -10.94, 3.06, 19.92, 96.75, -1.56, 25.1, 0, 69.31, 68.88,
19457, 65.49, 30.11, 7.8, 0, 0, 14.9, 18.4, 1.42, 18.43, 78.8, 14.79, 13.49, 79, 40, 14.13, 0, 0, 10, 25.88, 2.47, 30.11, 1406, 0, 100.4, 0, 0, 78.8, 15.3, 0.76, 14.13, 199.4, 77.3, 16.02, 100.4, 163.02, 64.84, 14.43, 0, 24.2, 3, 30, -15, 16.02, 0, -10.94, 3.06, 18.67, 96.76, -3.91, 26.67, 0, 68.75, 68.88,
19744, 77.25, 30.1, 7.8, 0, 0, 14.64, 23.9, 1.72, 18.82, 78.8, 14.79, 13.49, 79, 40, 13.55, 0, 0, 10, 23.92, 2.73, 30.1, 1357, 0, 102.2, 0, 0, 78.8, 15.3, 0.76, 13.44, 199.4, 80, 14.94, 102.2, 163.02, 64.84, 14.17, 0, 26.37, 3, 30, -18.5, 14.94, 0, -10.94, 3.06, 16.08, 96.76, -11.72, 23.92, 0, 68.75, 68.88,
20026, 85.49, 30.14, 7.8, 0, 0, 18.62, 26.7, 1.68, 18.82, 78.8, 14.79, 14.07, 79, 40, 14.81, 0, 0, 10, 21.18, 2.79, 30.14, 1378, 0, 102.2, 0, 0, 78.8, 15.3, 0.76, 14.81, 199.4, 74.9, 17.95, 102.2, 162.88, 69.14, 13.83, 0, 28.75, 3, 30, -21.5, 17.95, 0, -10.94, 3.07, 16.13, 96.76, -3.12, 20.39, 0, 68.88, 68.88,
20351, 89.02, 30.09, 7.8, 0, 0, 20.35, 26.7, 1.65, 18.82, 78.8, 14.79, 14.36, 79, 40, 14.47, 0, 0, 10, 25.1, 2.94, 30.09, 1417, 0, 102.2, 0, 0, 80.6, 15.3, 0.76, 14.47, 199.4, 72.9, 18.02, 102.2, 162.88, 76.56, 12.97, 0, 29.97, 3, 30, -22, 18.02, 0, -10.94, 3.07, 13.64, 96.76, -7.03, 24.71, 0, 68.56, 68.88,
20665, 80.39, 30.29, 7.8, 0, 0, 13.74, 24.3, 1.75, 21.18, 78.8, 14.79, 13.78, 79, 40, 14.59, 0, 0, 10, 30.59, 2.81, 30.29, 1363, 0, 102.2, 0, 0, 80.6, 15.3, 0.76, 14.59, 199.4, 85.1, 13.93, 102.2, 162.88, 68.75, 14.27, 0, 27.34, 3, 30, -17.5, 13.93, 0, -10.94, 3.07, 25.9, 96.76, -11.72, 29.41, 0, 68.62, 68.88,
20981, 89.02, 30.2, 7.8, 0, 0, 17.2, 26.3, 1.69, 16.08, 78.8, 14.79, 14.36, 79, 40, 13.55, 0, 0, 10, 20.39, 2.69, 30.2, 1390, 0, 102.2, 0, 0, 78.8, 15.3, 0.76, 13.55, 199.4, 92.2, 17.62, 102.2, 162.88, 72.66, 14.58, 0, 30.46, 3, 30, -22, 17.62, 0, -10.94, 3.07, 15.5, 96.76, -14.06, 19.61, 0, 69, 68.88,
21308, 83.14, 29.77, 7.8, 0, 0, 19.2, 24.7, 1.47, 16.47, 78.8, 14.79, 14.65, 79, 40, 14.81, 0, 0, 10, 22.75, 2.64, 29.77, 1378, 0, 102.2, 0, 0, 78.8, 15.3, 0.76, 14.7, 199.4, 77.6, 18.64, 104, 162.88, 77.34, 14.93, 0, 29.17, 3, 30, -20, 18.64, 0, -10.94, 3.07, 14.99, 96.78, -10.94, 22.75, 0, 68.88, 68.88,
21605, 78.82, 30.1, 7.8, 0, 0, 18.96, 23.1, 1.52, 19.61, 78.8, 14.79, 14.79, 79, 40, 14.93, 0, 0, 10, 27.84, 2.7, 30.1, 1360, 0, 104, 0, 0, 78.8, 15.3, 0.76, 14.81, 199.4, 83.5, 20.41, 104, 162.88, 76.95, 15.41, 0, 28.26, 3, 30, -17, 20.41, 0, -10.94, 3.07, 24.91, 96.78, -11.72, 29.02, 0, 68.69, 68.88,
21897, 90.59, 29.78, 7.8, 0, 0, 17.58, 25.9, 1.61, 19.61, 78.8, 14.79, 13.92, 79, 40, 13.9, 0, 0, 10, 20.39, 2.78, 29.78, 1411, 0, 104, 0, 0, 78.8, 15.3, 0.76, 13.9, 199.4, 92.2, 16.13, 104, 162.88, 73.83, 14.37, 0, 30.82, 3, 30, -21.5, 16.13, 0, -10.94, 3.07, 12.19, 96.78, -15.62, 19.61, 0, 68.88, 68.88,
22206, 93.73, 29.81, 7.8, 0, 0, 22.38, 25.9, 1.58, 19.22, 78.8, 14.79, 14.94, 79, 40, 15.04, 0, 0, 10, 25.88, 2.62, 29.81, 1402, 0, 104, 0, 0, 80.6, 15.3, 0.76, 15.04, 199.4, 76.9, 20.86, 104, 162.88, 80.08, 13.68, 0, 31.65, 3, 30, -20, 20.86, 0, -10.94, 3.07, 19.29, 96.78, -10.16, 25.88, 0, 68.69, 68.88,
22506, 81.57, 29.86, 7.8, 0, 0, 11.13, 24.7, 1.62, 24.71, 78.8, 14.79, 13.05, 79, 40, 14.7, 0, 0, 10, 30.59, 2.83, 29.86, 1419, 0, 104, 0, 0, 80.6, 15.3, 0.76, 14.7, 199.4, 91, 11.91, 104, 162.88, 67.97, 14.67, 0, 27.31, 3, 30, -16, 11.91, 0, -10.94, 3.08, 15.08, 96.8, -14.06, 27.84, 0, 68.88, 68.88,
22827, 91.76, 30.07, 7.8, 0, 0, 17.01, 29, 1.8, 12.16, 78.8, 14.79, 14.07, 79, 40, 13.78, 0, 0, 10, 23.14, 3.11, 30.07, 1436, 0, 104, 0, 0, 80.6, 15.3, 0.76, 13.9, 199.4, 86.7, 17.15, 105.8, 162.88, 78.52, 13.99, 0, 31.07, 3, 30, -22, 17.15, 0, -10.94, 3.08, 18.73, 96.8, -18.75, 26.27, 0, 68.81, 68.88,
23117, 77.65, 30.01, 7.8, 0, 0, 16.7, 20.4, 1.55, 20.78, 78.8, 14.79, 14.21, 79, 40, 14.47, 0, 0, 10, 27.45, 2.77, 30.01, 1359, 0, 105.8, 0, 0, 78.8, 15.3, 0.76, 14.36, 199.4, 91, 18.94, 105.8, 162.88, 75.78, 15.24, 0, 28.05, 3, 30, -17.5, 18.94, 0, -10.94, 3.08, 24.85, 96.8, -16.41, 28.63, 0, 69.19, 68.88,
23427, 94.9, 29.91, 7.8, 0, 0, 18.81, 27.1, 1.68, 19.61, 78.8, 14.79, 14.65, 79, 40, 13.9, 0, 0, 10, 25.49, 2.88, 29.91, 1358, 0, 105.8, 0, 0, 78.8, 15.3, 0.76, 14.01, 199.4, 92.9, 18.72, 105.8, 162.88, 83.59, 14.56, 0, 32.62, 3, 30, -22, 18.72, 0, -10.94, 3.08, 17.83, 96.82, -17.97, 26.27, 0, 68.81, 68.88,
23718, 92.94, 30.42, 7.8, 0, 0, 14.87, 25.5, 1.64, 24.31, 78.8, 14.79, 13.78, 79, 40, 14.47, 0, 0, 10, 26.27, 2.8, 30.42, 1407, 0, 105.8, 0, 0, 78.8, 15.3, 0.76, 14.24, 199.4, 96.5, 12.53, 105.8, 162.88, 71.48, 14.53, 0, 31.8, 3, 30, -19.5, 12.53, 0, -10.94, 3.08, 11.88, 96.82, -15.62, 23.14, 0, 68.94, 68.88,
